Id;Timestamp;MMSI;Class;Vessel_IMO
296;2020-11-18 00:00:02;311000263;Class A;9701657
297;2020-11-18 00:00:02;219000881;Class A;\N
298;2020-11-18 00:00:02;265714460;Class A;\N
299;2020-11-18 00:00:02;305425000;Class A;9384370
300;2020-11-18 00:00:02;219012521;Class A;\N
301;2020-11-18 00:00:02;219024411;Class A;\N
302;2020-11-18 00:00:02;219862000;Class A;\N
303;2020-11-18 00:00:02;304217000;Class A;8814196
304;2020-11-18 00:00:02;374558000;Class A;9280196
305;2020-11-18 00:00:02;219005902;Class B;\N
306;2020-11-18 00:00:02;219009599;Class A;\N
307;2020-11-18 00:00:02;265514800;Class A;\N
308;2020-11-18 00:00:02;219616000;Class A;7719832
309;2020-11-18 00:00:02;311027600;Class A;9466130
310;2020-11-18 00:00:02;265547210;Class A;9004827
311;2020-11-18 00:00:02;209275000;Class A;9819882
312;2020-11-18 00:00:02;2190074;Base Station;\N
313;2020-11-18 00:00:02;219024675;Class A;\N
314;2020-11-18 00:00:02;219001559;Class A;9206334
315;2020-11-18 00:00:02;219023635;Class A;\N
316;2020-11-18 00:00:02;265768840;Class A;\N
317;2020-11-18 00:00:02;219000733;Class A;7925649
318;2020-11-18 00:00:02;211457860;Class A;\N
319;2020-11-18 00:00:02;255806272;Class A;9286712
320;2020-11-18 00:00:02;992111827;AtoN;\N
321;2020-11-18 00:00:02;538004542;Class A;9608673
322;2020-11-18 00:00:02;219421000;Class A;\N
324;2020-11-18 00:00:02;304217000;Class A;8814196
325;2020-11-18 00:00:02;306117000;Class A;9163403
326;2020-11-18 00:00:02;209543000;Class A;9372274
327;2020-11-18 00:00:02;218809000;Class A;7388657
328;2020-11-18 00:00:02;265504660;Class A;\N
329;2020-11-18 00:00:02;209445000;Class A;8719102
331;2020-11-18 00:00:02;636092241;Class A;9301108
332;2020-11-18 00:00:02;220046000;Class A;\N
333;2020-11-18 00:00:02;219005732;Class A;\N
335;2020-11-18 00:00:02;219003826;Class A;\N
336;2020-11-18 00:00:02;265572330;Class A;5305302
337;2020-11-18 00:00:02;219297000;Class A;7432226
338;2020-11-18 00:00:02;236500000;Class A;9407976
339;2020-11-18 00:00:02;220142000;Class A;\N
340;2020-11-18 00:00:02;372078000;Class A;9836880
341;2020-11-18 00:00:02;219002827;Class A;\N
342;2020-11-18 00:00:02;2655148;Base Station;\N
343;2020-11-18 00:00:03;992111840;AtoN;\N
344;2020-11-18 00:00:03;219016832;Class A;9649677
345;2020-11-18 00:00:03;992111927;AtoN;\N
346;2020-11-18 00:00:03;992111929;AtoN;\N
347;2020-11-18 00:00:03;992111928;AtoN;\N
348;2020-11-18 00:00:03;211235220;Class A;\N
349;2020-11-18 00:00:03;277408000;Class A;9350721
350;2020-11-18 00:00:03;219024715;Class A;\N
351;2020-11-18 00:00:03;265701610;Class A;\N
352;2020-11-18 00:00:03;236673000;Class A;9749099
353;2020-11-18 00:00:03;219001236;Class A;8977065
354;2020-11-18 00:00:03;265522240;Class A;8612055
355;2020-11-18 00:00:03;219000617;Class A;9206322
